ArrayID	Name	BitVector
RAP2C	RAP2C: RAP2C	20111120021111111011121112111011122101120121120211121211122111201121112121101121112111010212101122120111111022011121220211112101111111
CBX4	CBX4: CBX4	22210212011122100010111211122202201211121220212211221110102100011222202112202110102111020111011102112001202101102111202221211202121221
C20orf118	C20orf118: C20orf118	11202201212101011212211010111211111110112112001122101110220222220110220012220201120121202111221010010220101111211111212120020021111011
COL28A1	COL28A1: COL28A1	22100112111121222120021020222120100002120001200010220002012000100202111111002012202011020002002102010002211001011101020002221202012122
LENG1	LENG1: LENG1	11110101101010101202000000000102100010012100102000001000101101021102110001020100011100212010120000002011001100201010002100110120111001
FDXR	FDXR: FDXR	02101102201100000202101100110212100010002101102010011110110111121002110011221110011101202020120001012111110100211120102010010020010111
ROD1	ROD1: ROD1	20111110011212011011211111212110111201110211010212121211121111210110112121111111111021011211101111110110111012010100210111101011120110
LPAL2	LPAL2: LPAL2	22022201120120222221021221110112212122220121221100102121011112122222102102022211112212210222110122212110220222022012021212202201222122
SLIT1	SLIT1: SLIT1	21121122221020210020021221110122001011112111220100011111010010112222002111002111202101121112021212222102212221012022010202212122102222
HIGD1C	HIGD1C: HIGD1C	01120001210001200000011221100012100001000010220000001000010021002000000000000000111101220200011102201100010200000001000000100000201000
NCRNA00028	NCRNA00028: NCRNA00028	10001102100020000001002020020000000122020001200100010101000000011002001000001001010200111120011022201102010020000021000200200021010021
TBC1D3B	TBC1D3B: TBC1D3B	01000000102200000000210000000002100000000020000000000021200100000000010010100200020100000000002020010101020000010010120000000000002002
RPL39L	RPL39L: RPL39L	20100011110110111212012111000102121120012010112100012101000011112112001120010121002200112111120101112122010222112021100101121221211000
RAB38	RAB38: RAB38	00011121100120222011122221121122002121110111222211121122110112111112212221112010112221111222111221221112222221121021111221211221211112
AMDHD1	AMDHD1: AMDHD1	20121010220020221121022222112022221012222021221100102022011111112122110210102202201102210202222222212212222222112022020012212211221211
MSTN	MSTN: MSTN	12222221021222121022022222122020100022220221220012211122012121112222020212012022212221020220001212220112222202112102020022220201222222
ZBTB10	ZBTB10: ZBTB10	21210221012222201010221112222011101201020221200222221210122210100220102220101111211021020100001012000100212002002200210222201202021120
MIR623	MIR623: MIR623	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
ARHGAP15	ARHGAP15: ARHGAP15	21021021120020221121022122000112221022121120221101112012012001012212011210002111102211220212001222222102110221112021020202222211212112
OR5B2	OR5B2: OR5B2	00020000001000010000000000000000011000100000000000000000000000000000000000000000001002000000000001000000000000010000020000000000000001
PSEN2	PSEN2: PSEN2	11111111111111112211111111110111101111111011211111110111111111121112111111111111111111112112121111111112111111111021102111111111101111
RHOD	RHOD: RHOD	00012010101120102202110100100120001020012011101221120212200000012212020120120011102110212102010012001012021121221020102101021111101011
C20orf134	C20orf134: C20orf134	02201202211101000202101100221212112111002112012112111211210111121101101101211111011001212011120110012120101201211121202120110121111110
CNTFR	CNTFR: CNTFR	02202201222222210202212022222200210011212222202022202020221222221212220202221112221202222220221200000220211201200002122022020021122122
PCDHB1	PCDHB1: PCDHB1	20020000000020200000020000010000000001000200200000000000010000000000000000000010011000010000001121100000202000000000000012000000012000
SNORA47	SNORA47: SNORA47	00000000001100010000001000100000110020010100000000000000002001000100010000000000100000212020000000010000000000000020100000100001012100
OR1M1	OR1M1: OR1M1	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
LGALS2	LGALS2: LGALS2	02212002212202020212202021112202220021022111002022212210210222122210020212222202200221202220210200002221002212202021102010020022220222
LOC100133445	LOC100133445: LOC100133445	02112211112201110100211211212111211101101112100121100121121211111110211112211111120101112011110110111110101101121111212120010011111111
MIR509-2	MIR509-2: MIR509-2	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MIR450A2	MIR450A2: MIR450A2	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MIR4762	MIR4762: MIR4762	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
RAB19	RAB19: RAB19	02222202222202110122211210222220222201212222002222211222220222220220222222221222222222222222222200011220221222221221202020210022221221
TOR1AIP2	TOR1AIP2: TOR1AIP2	20112120001111011111121111111112111111110121111111111111112111111111112111111111111111111111101111111001111111111101111211111110111111
SNORD115-34	SNORD115-34: SNORD115-34	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
PEAK1	PEAK1: PEAK1	11111221012221122020121122222020111112210211210111110112122111100111112211112121111122020111102122220111221111011102121222112201111112
FLJ40194	FLJ40194: FLJ40194	21011001100020102010101001010000010010020110202011211000000000001220011000101001011100220011000120210001100002110002010002000001010101
DEFB135	DEFB135: DEFB135	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
ZNF451	ZNF451: ZNF451	21111111021122111011121112112011111111120111121111111111012111101120111111111111111121010111001112111111111112011101121212112101111111
TCEAL7	TCEAL7: TCEAL7	01201021010020220121022122011120001122221110212000221002002000001212011210001010102220020210001122210102021201112011020202222201112122
CHRNA4	CHRNA4: CHRNA4	11200000002020200000112022210022121021222220000010102010000000202202000000001002110220000200000000000000000201102002001002000011212022
CENPP	CENPP: CENPP	11011010111211100111111112111111122111110110122101112112001002112112001022101121111101211111211121221122121112121021210212111211101111
