ArrayID	Name	BitVector
CCNI	208656_s_at	222122221211111121111112122122221122121212112221212222221212212211101010010110101100211210120021020221111111111112222000000111222221212122211111222212221222221222222212222222222112211222222221222222221222222100100222220111111211
MGA	212945_s_at	111122122222221121122212122212112221112212222122222222220221212222201011111101100000100000010000020012222221221211111100111122021111011121001111211111211122211122221222121122222222222112222111121112222120222111011221222222222222
TTC30B	1554588_a_at	001010011121111121111100021111011111212221221011011211110221101112210211011001121010000000010000000001121211211210001221212110222221222212221222212122112122222200110010100000112122122111221121122212212020222000100122112222222212
ANKRD9	230972_at	012111011111121111121111211111221111111121111121211211111211111111121221122122222220220221111022020211111121211111122201111111011111111201111211112111111111111100000001101010111111011111220121212211012111111100000122110111101111
FAT	201579_at	112222212212222222222222222222222222122222222222122222211222212222222222222222222220220220110012020122222222222221111222122221112112121211002222222222202122112022212222222222222222221222222222222222222222222211211222222222222222
SLC25A36	201917_s_at	222222222222222222222221222222222122222222222222222222221222212222222222222222222220000002010001001002222222222122222222222222222222222222222222222222222222222222212222122111222222222222222222222222222221222222222222222222222222
SLC39A5	231667_at	112211111201220110121121112122221221111112111111111110111111112112212222211022121121220222212111121211110121011121121222221221011121111000011110112101211121111000100101011101100001101111000010011111100102100001000122110101100100
POLK	223261_at	010010012222222121122221122122112122212222211121112212221121112212101111010111111100100101010010020012222222222221122110112011222222222222222222222222222222222222211121101011122122122122222221122221222120222100100122112222222222
PSENEN	218302_at	122212222122112212211211101120111212222222222222222222212222222221222212112211212210000000000000000012111111212011112111101222222221212112221111122211121222221221222122222222222222222222222222222222222222222100000211221111111111
LOC285401	1557369_a_at	000000000000000000000100101101010010000000000100000000001001010000011100100011100112122122212221202211101101000010000100000000000110000010010100011000010011010100000000000000000101100001100010100000000002000000101000001000000000
GNPTAB	212959_s_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220200222010020020122222222222222222222212222222222222222222222222222222222222211211211012011122222222222222221222222212221212100110122122222222222
HDAC2	201833_at	221221222222222222222222222222222222222222222222222222222222222222212112121221221210110101020011020022222222222221222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
GSN	214040_s_at	122222222222212222222211212120011202222222222222222222222222222222200000000000000001010110102101101202121122222111011000000211212210102021210000122102120212220121221221212110212222221222222212222222222222222000000102220000000000
MED1	225456_at	121222222222222222222222122222122222222222222222222222222222222222222122121222221210100100020000020022222222222121212221211222222222122122112111222212211222222122222222222222222222222222222222222222222222222221210222222222222222
CHURC1	223210_at	122221122222222222222222222222221121222212222122122121221221212212222211122111221100110101020002010012222222222221122221222222222222222222222222222222222222222212222222112121222221122122222222222222222121222210110222222222222222
DPY19L4	213391_at	111111012122111122122211121111112122222222222111122212221221111222212122212212221210000000000000010012222211222121111211212111212222222222222222212222122222222221222111102011222222222222222222222222222221222210210222222222222222
STRBP	223245_at	112222122222222222222221122222222222222222222222122222211222222222222222222222222220210111010011020012222222222221112222222222122222222212122222222222112122212122211222121122222222222222222222222222222221222211111222222222222222
SGK1	201739_at	012211222221222122222221222212112212111111111111022111102112101100222222222222222222220221221122122122112222102222222020000001212222222221222222222221022211222000010000001001001000000000000000000000001000000100000000000010000001
TMTC2	235775_at	111211112121112111112110010012001002111211222011012221121111211102201000000000000000000000010000000000111100120011100010101111212222212022111100121212121202220112212221111010222122122211222222221222212121222200000211222122202212
ASNS	205047_s_at	011000001101110111111110001101110010001101111000101110100011011011111101010110110100000001010000010000101110000000100111101010200111211011221110011010011100111122222000011102012121222111222112212222111222222000000211221221111111
LOC285191	1562632_at	101000100010010000101010110001100000100000000110000000110000010000000000000000000012122112212212202211000001000100000000011000000000000000000000000000100000000001000111110101100000000000001001000000000101000011112000000000000010
